dataset,fold,train_participants,validation_participants,selected_feature_count,accuracy,balanced_accuracy,macro_f1,precision_macro,recall_macro
demographics_questionnaire,1,375,94,20,0.574468085106383,0.585,0.5594122282482733,0.5503086419753086,0.585
demographics_questionnaire,2,375,94,20,0.5851063829787234,0.5956477732793523,0.5208998328013377,0.519103313840156,0.5956477732793523
demographics_questionnaire,3,375,94,20,0.6063829787234043,0.6133960573476703,0.571604938271605,0.5767473406154066,0.6133960573476703
demographics_questionnaire,4,376,93,20,0.6989247311827957,0.6697994987468672,0.6322980081947084,0.6138146167557933,0.6697994987468672
demographics_questionnaire,5,375,94,20,0.6914893617021277,0.6466369334619094,0.6090755598279537,0.5962962962962962,0.6466369334619094
wearable_questionnaire,1,375,94,20,0.6382978723404256,0.6594444444444444,0.6258741258741259,0.6171679197994987,0.6594444444444444
wearable_questionnaire,2,375,94,20,0.6382978723404256,0.6688034188034188,0.5902992561840511,0.5823583224998796,0.6688034188034188
wearable_questionnaire,3,375,94,20,0.6702127659574468,0.6741039426523298,0.6429438982070561,0.6410017889087657,0.6741039426523298
wearable_questionnaire,4,376,93,20,0.7204301075268817,0.6986215538847119,0.675519978106185,0.6645299145299145,0.6986215538847119
wearable_questionnaire,5,375,94,20,0.6063829787234043,0.6312078109932497,0.5618357487922705,0.5613026819923371,0.6312078109932497
multimodal_full,1,375,94,20,0.6170212765957447,0.638888888888889,0.6029503936406023,0.5915119363395226,0.638888888888889
multimodal_full,2,375,94,20,0.648936170212766,0.6666104363472785,0.5922330097087379,0.5808603634690591,0.6666104363472785
multimodal_full,3,375,94,20,0.6702127659574468,0.6893817204301076,0.6522845575477154,0.6465831842576029,0.6893817204301076
multimodal_full,4,376,93,20,0.7204301075268817,0.6986215538847119,0.6838505171838505,0.6884589379518385,0.6986215538847119
multimodal_full,5,375,94,20,0.6170212765957447,0.5930167148826744,0.5493975090289263,0.542512077294686,0.5930167148826744
