dataset,metric,mean,std,min,max
demographics_questionnaire,accuracy,0.6312743079386868,0.059540815795819615,0.574468085106383,0.6989247311827957
demographics_questionnaire,balanced_accuracy,0.6220960525671598,0.03545839859145158,0.585,0.6697994987468672
demographics_questionnaire,macro_f1,0.5786581134687756,0.04347019011105166,0.5208998328013377,0.6322980081947084
demographics_questionnaire,precision_macro,0.5712540418965921,0.03750700462333054,0.519103313840156,0.6138146167557933
demographics_questionnaire,recall_macro,0.6220960525671598,0.03545839859145158,0.585,0.6697994987468672
wearable_questionnaire,accuracy,0.6547243193777168,0.043109407658161604,0.6063829787234043,0.7204301075268817
wearable_questionnaire,balanced_accuracy,0.6664362341556309,0.024444933241284834,0.6312078109932497,0.6986215538847119
wearable_questionnaire,macro_f1,0.6192946014327377,0.04445818865719538,0.5618357487922705,0.675519978106185
wearable_questionnaire,precision_macro,0.6132721255460791,0.04203557617259779,0.5613026819923371,0.6645299145299145
wearable_questionnaire,recall_macro,0.6664362341556309,0.024444933241284834,0.6312078109932497,0.6986215538847119
multimodal_full,accuracy,0.6547243193777168,0.043109407658161625,0.6170212765957447,0.7204301075268817
multimodal_full,balanced_accuracy,0.6573038628867323,0.04270451237688777,0.5930167148826744,0.6986215538847119
multimodal_full,macro_f1,0.6161431974219665,0.052657414312310545,0.5493975090289263,0.6838505171838505
multimodal_full,precision_macro,0.6099852998625418,0.057531903889567255,0.542512077294686,0.6884589379518385
multimodal_full,recall_macro,0.6573038628867323,0.04270451237688777,0.5930167148826744,0.6986215538847119
