Feature,Mean |SHAP|
numerical__total_symptom_count,0.04050211593820358
numerical__distortion_perception_count,0.02298006248060057
numerical__gastrointestinal_count,0.02082801402936998
numerical__Q25,0.018868098626793693
numerical__HoldWeight_RightWrist_gyro_y_dominant_frequency,0.018146867303629993
numerical__Q02,0.01675610468664789
numerical__CrossArms_RightWrist_gyro_y_spectral_centroid,0.015340332977576967
numerical__LiftHold_Left_AccX_IQR,0.015072107627353922
numerical__urinal_count,0.014783869989958216
numerical__CrossArms_Left_GyroMag_Min,0.013092163091082916
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_centroid,0.012475724142439765
numerical__HoldWeight_Left_GyroY_IQR,0.01184195396384048
numerical__CrossArms_Left_AccY_IQR,0.011751752535480012
numerical__RelaxedTask_RightWrist_gyro_y_dominant_frequency,0.011672724309457668
numerical__RelaxedTask_RightWrist_acc_z_spectral_entropy,0.010512050001472116
numerical__CrossArms_Left_AccMag_Min,0.01026987853402371
numerical__HoldWeight_RightWrist_acc_z_spectral_entropy,0.009483835927594716
numerical__RelaxedTask_RightWrist_gyro_magnitude_spectral_centroid,0.009283925534703806
numerical__TouchNose_Left_GyroZ_Median,0.009130028250465494
numerical__HoldWeight_RightWrist_acc_y_spectral_entropy,0.008851908389995123
numerical__RelaxedTask_LeftWrist_gyro_magnitude_spectral_centroid,0.008553260289352922
numerical__Relaxed_RightWrist_acc_z_spectral_entropy,0.008500557659289915
numerical__HoldWeight_LeftWrist_acc_z_spectral_entropy,0.008182179173833981
numerical__HoldWeight_LeftWrist_acc_z_spectral_centroid,0.007985624426381713
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_centroid,0.007981237322572448
numerical__LiftHold_Left_GyroZ_IQR,0.007753650195298693
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_entropy,0.0075458033173283956
numerical__TouchNose_Right_GyroZ_Median,0.007441424199108451
numerical__cardiovascular_count,0.006980280360373479
numerical__RelaxedTask_LeftWrist_acc_magnitude_spectral_centroid,0.006744682364189976
numerical__RelaxedTask_RightWrist_acc_magnitude_spectral_centroid,0.006614179077079611
numerical__HoldWeight_RightWrist_acc_x_spectral_entropy,0.006613837972928062
numerical__DrinkGlas_Right_AccMag_Min,0.006428555314593723
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_centroid,0.006239240597664222
numerical__TouchNose_Left_GyroMag_IQR,0.006190247568031567
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_centroid,0.005976605318940342
numerical__sleep_fatigue_count,0.005793705485279859
numerical__Q08,0.005551249885097524
numerical__Relaxed_RightWrist_gyro_y_dominant_frequency,0.005246210853531509
categorical__gender_Male,0.005219337265315312
numerical__Q03,0.00454555867299592
numerical__Q01,0.0045151983485834475
numerical__Q05,0.003317356515972091
numerical__Q09,0.003201712725258033
numerical__Q07,0.0030160024959549627
numerical__apathy_attention_memory_count,0.002786982421134283
numerical__DrinkGlas_LeftWrist_gyro_x_dominant_frequency,0.0025715864336129874
categorical__gender_Female,0.0023282792207722307
numerical__Q19,0.002191670376681414
numerical__Q12,0.0006745964313385972
