,modality,model,split,accuracy,balanced_accuracy,macro_f1,precision_macro,recall_macro
0,Demographics,Dummy,Validation,0.5857142857142857,0.3333333333333333,0.2462462462462462,0.1952380952380952,0.3333333333333333
1,Demographics,Dummy,Test,0.5915492957746479,0.3333333333333333,0.247787610619469,0.1971830985915492,0.3333333333333333
2,Demographics,Logistic Regression,Validation,0.4571428571428571,0.4043121313566077,0.3897189833345764,0.4147970085470085,0.4043121313566077
3,Demographics,Logistic Regression,Test,0.5211267605633803,0.4710550887021476,0.4517325150236542,0.4576774576774576,0.4710550887021476
4,Demographics,Random Forest,Validation,0.4714285714285714,0.4009644508209788,0.3852536352536352,0.4360670194003527,0.4009644508209788
5,Demographics,Random Forest,Test,0.5070422535211268,0.4596171802054156,0.422458485749625,0.4386786786786787,0.4596171802054156
6,Questionnaire,Dummy,Validation,0.5857142857142857,0.3333333333333333,0.2462462462462462,0.1952380952380952,0.3333333333333333
7,Questionnaire,Dummy,Test,0.5915492957746479,0.3333333333333333,0.247787610619469,0.1971830985915492,0.3333333333333333
8,Questionnaire,Logistic Regression,Validation,0.6285714285714286,0.6427148095010362,0.5864446235115051,0.573500233426704,0.6427148095010362
9,Questionnaire,Logistic Regression,Test,0.6197183098591549,0.6048085901027078,0.5829959514170041,0.5763000852514918,0.6048085901027078
10,Questionnaire,Random Forest,Validation,0.6571428571428571,0.6360194484297784,0.5731481481481481,0.6082112332112332,0.6360194484297784
11,Questionnaire,Random Forest,Test,0.6619718309859155,0.5982726423902894,0.5651958966753182,0.6002227791701475,0.5982726423902894
12,Wearable,Dummy,Validation,0.5857142857142857,0.3333333333333333,0.2462462462462462,0.1952380952380952,0.3333333333333333
13,Wearable,Dummy,Test,0.5915492957746479,0.3333333333333333,0.247787610619469,0.1971830985915492,0.3333333333333333
14,Wearable,Logistic Regression,Validation,0.6428571428571429,0.5559142356129444,0.5715914272685819,0.6022331154684096,0.5559142356129444
15,Wearable,Logistic Regression,Test,0.7183098591549296,0.6685340802987861,0.6675,0.6686940966010734,0.6685340802987861
16,Wearable,Random Forest,Validation,0.6714285714285714,0.70484616610872,0.6603104359860444,0.641514939309057,0.70484616610872
17,Wearable,Random Forest,Test,0.5915492957746479,0.5294117647058824,0.5309941520467837,0.5476190476190476,0.5294117647058824
