Feature,Mean |SHAP|
numerical__gastrointestinal_count,0.25406545
numerical__StretchHold_Left_AccZ_IQR,0.17351326
numerical__urinary_count,0.1578876
numerical__distortion_perception_count,0.13718596
numerical__Q25,0.11921489
numerical__RelaxedTask_LeftWrist_acc_magnitude_spectral_centroid,0.10789596
numerical__HoldWeight_RightWrist_gyro_y_dominant_frequency,0.09253773
numerical__Q02,0.08069973
numerical__PointFinger_RightWrist_acc_y_dominant_frequency,0.07477226
numerical__HoldWeight_Left_GyroZ_IQR,0.07361327
numerical__DrinkGlas_RightWrist_gyro_x_spectral_entropy,0.07353222
numerical__CrossArms_RightWrist_gyro_y_spectral_centroid,0.07104868
numerical__RelaxedTask_RightWrist_acc_z_spectral_entropy,0.06637555
numerical__cardiovascular_count,0.062714845
numerical__CrossArms_LeftWrist_acc_magnitude_spectral_centroid,0.057869196
numerical__StretchHold_RightWrist_acc_y_dominant_frequency,0.053554505
numerical__RelaxedTask_LeftWrist_gyro_z_spectral_entropy,0.052486755
numerical__TouchNose_LeftWrist_gyro_z_spectral_entropy,0.04913535
numerical__TouchNose_Right_GyroZ_IQR,0.048605558
numerical__LiftHold_Right_AccX_IQR,0.04814445
numerical__TouchNose_Left_GyroY_Median,0.04636697
numerical__LiftHold_LeftWrist_acc_x_spectral_entropy,0.04558925
numerical__HoldWeight_RightWrist_gyro_y_spectral_centroid,0.04371364
numerical__TouchIndex_Right_AccX_Median,0.042465802
numerical__DrinkGlas_Left_AccMag_Mean,0.04171995
numerical__RelaxedTask_RightWrist_acc_y_spectral_centroid,0.041168958
numerical__Entrainment_LeftWrist_acc_z_spectral_centroid,0.03621101
numerical__CrossArms_Left_AccMag_Min,0.03604683
numerical__Relaxed_RightWrist_gyro_z_spectral_entropy,0.033950824
numerical__RelaxedTask_LeftWrist_acc_x_spectral_entropy,0.033766568
numerical__HoldWeight_RightWrist_acc_magnitude_spectral_entropy,0.032167748
numerical__RelaxedTask_RightWrist_gyro_y_dominant_frequency,0.031512003
numerical__CrossArms_LeftWrist_acc_magnitude_dominant_frequency,0.031074166
numerical__TouchNose_Right_GyroMag_Median,0.030409634
numerical__TouchNose_Right_GyroX_IQR,0.029495096
numerical__TouchNose_Right_GyroX_Median,0.029423784
numerical__RelaxedTask_RightWrist_gyro_magnitude_spectral_centroid,0.027961416
numerical__CrossArms_Left_GyroX_Mean,0.027895916
numerical__RelaxedTask_RightWrist_gyro_y_spectral_centroid,0.027746107
numerical__CrossArms_Right_AccX_Mean,0.027635703
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_centroid,0.025976947
numerical__HoldWeight_RightWrist_gyro_y_spectral_power,0.025530862
numerical__TouchIndex_Right_GyroX_IQR,0.025100822
numerical__HoldWeight_RightWrist_acc_z_spectral_entropy,0.023857316
numerical__TouchNose_Left_AccZ_Median,0.023602653
numerical__HoldWeight_Right_GyroY_Max,0.02357127
numerical__TouchNose_RightWrist_gyro_z_spectral_entropy,0.023163037
numerical__PointFinger_LeftWrist_gyro_z_spectral_entropy,0.02226683
numerical__HoldWeight_Right_GyroMag_Min,0.022155829
numerical__TouchNose_Right_GyroZ_Median,0.02191992
numerical__HoldWeight_Right_AccMag_Min,0.021777268
numerical__StretchHold_RightWrist_acc_x_dominant_frequency,0.021569481
numerical__TouchNose_RightWrist_acc_x_spectral_entropy,0.02144704
numerical__CrossArms_RightWrist_acc_x_dominant_frequency,0.021061856
numerical__StretchHold_Right_AccZ_Mean,0.020148989
numerical__PointFinger_Gyro_Magnitude_Energy_difference,0.01928453
numerical__DrinkGlas_Left_GyroZ_Range,0.018875722
numerical__DrinkGlas_Left_AccZ_Std,0.01819476
numerical__TouchNose_RightWrist_gyro_magnitude_spectral_centroid,0.017713416
numerical__Relaxed_LeftWrist_acc_z_spectral_centroid,0.017661197
numerical__CrossArms_RightWrist_gyro_y_spectral_entropy,0.017609477
numerical__RelaxedTask_LeftWrist_gyro_magnitude_spectral_centroid,0.017060868
numerical__LiftHold_Left_GyroX_IQR,0.017027648
numerical__LiftHold_RightWrist_gyro_magnitude_spectral_entropy,0.016799394
numerical__TouchNose_Left_GyroZ_Median,0.016762419
numerical__PointFinger_Left_AccX_Median,0.016533561
numerical__StretchHold_Left_AccMag_Min,0.016389707
numerical__sleep_fatigue_count,0.016188225
numerical__TouchNose_Left_GyroMag_IQR,0.016085153
numerical__DrinkGlas_LeftWrist_acc_magnitude_spectral_centroid,0.016071334
numerical__CrossArms_RightWrist_acc_y_spectral_entropy,0.01602163
numerical__RelaxedTask_RightWrist_gyro_magnitude_spectral_entropy,0.015659923
numerical__LiftHold_LeftWrist_acc_z_spectral_entropy,0.015492684
numerical__Relaxed_RightWrist_gyro_magnitude_spectral_entropy,0.015381474
numerical__Relaxed_RightWrist_acc_magnitude_spectral_centroid,0.015340246
numerical__HoldWeight_RightWrist_gyro_magnitude_spectral_centroid,0.015127826
numerical__PointFinger_Right_AccZ_IQR,0.01491532
numerical__RelaxedTask_LeftWrist_gyro_z_spectral_centroid,0.014603783
numerical__RelaxedTask_RightWrist_acc_x_spectral_entropy,0.014427749
numerical__RelaxedTask_RightWrist_gyro_z_spectral_entropy,0.013897041
numerical__LiftHold_Right_AccY_Std,0.013629413
numerical__TouchNose_Left_GyroY_Mean,0.013573061
numerical__LiftHold_LeftWrist_gyro_z_spectral_power,0.013100075
numerical__StretchHold_Left_GyroX_Min,0.012827852
numerical__PointFinger_Left_GyroZ_Min,0.012704089
numerical__TouchIndex_Right_AccX_Mean,0.012689829
numerical__DrinkGlas_LeftWrist_acc_z_dominant_frequency,0.012688896
numerical__PointFinger_Right_AccX_IQR,0.012641995
numerical__TouchNose_Left_GyroZ_Min,0.012532048
numerical__HoldWeight_LeftWrist_acc_x_spectral_centroid,0.012448504
numerical__LiftHold_RightWrist_acc_z_spectral_entropy,0.012248185
numerical__LiftHold_LeftWrist_acc_x_dominant_frequency,0.0122228665
numerical__Q01,0.012214756
numerical__TouchNose_Left_GyroY_Range,0.012148069
numerical__CrossArms_LeftWrist_gyro_z_spectral_centroid,0.01199128
numerical__HoldWeight_RightWrist_gyro_x_spectral_centroid,0.0119095
numerical__LiftHold_Left_AccMag_Median,0.01190004
numerical__Q08,0.011868869
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_power,0.011745243
numerical__CrossArms_LeftWrist_gyro_y_spectral_entropy,0.011703683
numerical__Relaxed_RightWrist_acc_magnitude_spectral_entropy,0.011385546
numerical__PointFinger_RightWrist_gyro_magnitude_spectral_entropy,0.011239921
numerical__HoldWeight_LeftWrist_acc_z_spectral_entropy,0.011195156
numerical__RelaxedTask_LeftWrist_acc_z_spectral_entropy,0.011035582
numerical__TouchNose_Left_GyroX_Mean,0.010970721
numerical__RelaxedTask_LeftWrist_gyro_x_spectral_entropy,0.010963007
numerical__Relaxed_LeftWrist_acc_x_spectral_entropy,0.010930726
numerical__LiftHold_RightWrist_acc_x_spectral_centroid,0.010789321
numerical__CrossArms_Right_GyroX_Mean,0.010736802
numerical__HoldWeight_Right_AccY_IQR,0.010681603
numerical__TouchNose_Left_GyroY_Max,0.010493261
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_centroid,0.010492495
numerical__Relaxed_LeftWrist_acc_z_spectral_entropy,0.010392329
numerical__TouchNose_LeftWrist_gyro_y_dominant_frequency,0.010388751
numerical__TouchNose_Left_AccMag_Min,0.010296201
numerical__HoldWeight_Right_GyroZ_IQR,0.0102559505
numerical__DrinkGlas_Right_AccY_IQR,0.010124641
numerical__TouchIndex_RightWrist_gyro_y_spectral_entropy,0.010111172
numerical__TouchNose_Left_GyroMag_Std,0.0100541
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_entropy,0.009839003
numerical__Relaxed_RightWrist_acc_z_spectral_entropy,0.009816441
numerical__RelaxedTask_RightWrist_acc_magnitude_spectral_centroid,0.009751036
numerical__Relaxed_RightWrist_gyro_y_spectral_entropy,0.009660499
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_entropy,0.009612256
numerical__HoldWeight_RightWrist_gyro_z_dominant_frequency,0.009527025
numerical__HoldWeight_RightWrist_gyro_x_dominant_frequency,0.009460984
numerical__DrinkGlas_Right_GyroZ_Range,0.009417962
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_centroid,0.009361206
numerical__RelaxedTask_RightWrist_gyro_x_spectral_entropy,0.009308774
numerical__RelaxedTask_LeftWrist_gyro_y_dominant_frequency,0.009049268
numerical__DrinkGlas_Left_AccY_IQR,0.008889184
numerical__HoldWeight_LeftWrist_acc_x_spectral_entropy,0.008810857
numerical__Relaxed_RightWrist_gyro_y_spectral_centroid,0.008809744
numerical__StretchHold_RightWrist_acc_x_spectral_entropy,0.008801289
numerical__DrinkGlas_Right_GyroZ_Std,0.008787219
numerical__StretchHold_RightWrist_gyro_y_dominant_frequency,0.008694218
