Feature,Mean |SHAP|
numerical__gastrointestinal_count,0.76219636
numerical__StretchHold_Left_AccZ_IQR,0.52053976
numerical__RelaxedTask_LeftWrist_acc_magnitude_spectral_centroid,0.32368788
numerical__Q25,0.25108585
numerical__HoldWeight_RightWrist_gyro_y_dominant_frequency,0.25013688
numerical__cardiovascular_count,0.18611734
numerical__LiftHold_Right_AccX_IQR,0.13678306
numerical__HoldWeight_RightWrist_gyro_y_spectral_centroid,0.13114092
numerical__RelaxedTask_RightWrist_acc_z_spectral_entropy,0.12988329
numerical__Relaxed_RightWrist_gyro_z_spectral_entropy,0.10185248
numerical__RelaxedTask_LeftWrist_acc_x_spectral_entropy,0.099267654
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_centroid,0.07615219
numerical__HoldWeight_Right_GyroY_Max,0.06635998
numerical__StretchHold_Right_AccZ_Mean,0.060446966
numerical__RelaxedTask_RightWrist_gyro_y_spectral_centroid,0.052105706
numerical__Relaxed_LeftWrist_acc_z_spectral_centroid,0.05136187
numerical__RelaxedTask_RightWrist_gyro_y_dominant_frequency,0.051025506
numerical__TouchNose_Left_GyroMag_IQR,0.048255462
numerical__RelaxedTask_LeftWrist_gyro_magnitude_spectral_centroid,0.04599904
numerical__HoldWeight_RightWrist_gyro_magnitude_spectral_centroid,0.040048223
numerical__PointFinger_LeftWrist_gyro_z_spectral_entropy,0.03947527
numerical__TouchNose_Right_GyroX_Median,0.038552385
numerical__LiftHold_Right_AccY_Std,0.038418584
numerical__LiftHold_LeftWrist_acc_x_dominant_frequency,0.0366686
numerical__TouchNose_Left_GyroY_Range,0.036444206
numerical__HoldWeight_RightWrist_gyro_x_spectral_centroid,0.0357285
numerical__LiftHold_Left_AccMag_Median,0.03414072
numerical__PointFinger_Left_GyroZ_Min,0.03302497
numerical__TouchNose_Left_GyroX_Mean,0.032912165
numerical__Relaxed_LeftWrist_acc_x_spectral_entropy,0.032792177
numerical__RelaxedTask_RightWrist_gyro_magnitude_spectral_entropy,0.030795097
numerical__RelaxedTask_RightWrist_gyro_z_spectral_entropy,0.030785836
numerical__StretchHold_Left_GyroX_Min,0.029838381
numerical__TouchNose_Right_GyroZ_Median,0.029717613
numerical__Relaxed_RightWrist_acc_z_spectral_entropy,0.029449321
numerical__RelaxedTask_LeftWrist_acc_z_spectral_entropy,0.028498394
numerical__HoldWeight_RightWrist_gyro_x_dominant_frequency,0.028382953
numerical__StretchHold_RightWrist_acc_x_dominant_frequency,0.026680112
numerical__DrinkGlas_Left_AccY_IQR,0.026667552
numerical__DrinkGlas_Right_GyroZ_Std,0.026143465
numerical__TouchNose_Left_GyroZ_Median,0.024707621
numerical__TouchNose_RightWrist_gyro_z_spectral_entropy,0.024143295
numerical__CrossArms_Right_GyroX_Mean,0.023163967
numerical__TouchNose_Left_GyroY_Max,0.022679538
numerical__urinary_count,0.022478577
numerical__PointFinger_Right_AccX_IQR,0.022166891
numerical__StretchHold_Left_AccMag_Median,0.021964107
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_entropy,0.020917956
numerical__DrinkGlas_Left_AccZ_IQR,0.020626875
numerical__sleep_fatigue_count,0.020499906
numerical__StretchHold_RightWrist_gyro_y_dominant_frequency,0.019392816
numerical__RelaxedTask_RightWrist_acc_magnitude_spectral_centroid,0.018284488
numerical__LiftHold_Right_AccMag_Median,0.018075434
numerical__TouchIndex_LeftWrist_gyro_z_spectral_entropy,0.018058408
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_entropy,0.017491978
