Feature,Mean |SHAP|
numerical__CrossArms_RightWrist_gyro_y_spectral_centroid,0.022227663460627337
numerical__CrossArms_Left_GyroMag_Min,0.018631128070600238
numerical__gastrointestinal_count,0.018226348838511482
numerical__CrossArms_Left_AccMag_Min,0.016990180264143874
numerical__HoldWeight_Left_GyroY_IQR,0.01653698676771507
numerical__Q02,0.01594426719058782
numerical__distortion_perception_count,0.01593847763141199
numerical__HoldWeight_RightWrist_gyro_y_dominant_frequency,0.015620643581653578
numerical__HoldWeight_RightWrist_acc_z_spectral_entropy,0.015325287072219963
numerical__LiftHold_Left_AccX_IQR,0.015168638027162748
numerical__HoldWeight_LeftWrist_acc_z_spectral_entropy,0.012136048191290251
numerical__HoldWeight_RightWrist_acc_y_spectral_entropy,0.01210373917362279
numerical__RelaxedTask_RightWrist_acc_z_spectral_entropy,0.011942365246938313
numerical__RelaxedTask_RightWrist_gyro_y_dominant_frequency,0.011361463969179128
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_centroid,0.010224577970781103
numerical__LiftHold_Left_GyroZ_IQR,0.009862790517536024
numerical__Relaxed_RightWrist_acc_z_spectral_entropy,0.009628079866451028
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_entropy,0.00961865569902023
numerical__HoldWeight_LeftWrist_acc_z_spectral_centroid,0.009206750499213687
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_centroid,0.009113709226304556
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_centroid,0.008231350307732801
numerical__urinary_count,0.008000009661458347
numerical__LiftHold_LeftWrist_acc_x_spectral_entropy,0.007696922602765035
numerical__CrossArms_Left_AccY_IQR,0.0074250159101313185
numerical__HoldWeight_RightWrist_acc_x_spectral_entropy,0.007120626782306859
numerical__RelaxedTask_RightWrist_acc_magnitude_spectral_centroid,0.007095685499999084
numerical__DrinkGlas_Right_AccMag_Min,0.006894041567277527
numerical__TouchNose_Right_GyroZ_Median,0.006541293979641148
numerical__RelaxedTask_LeftWrist_gyro_magnitude_spectral_centroid,0.006410323257091693
numerical__TouchNose_Left_GyroZ_Median,0.005845815232923289
numerical__Q25,0.005769738956997701
numerical__Q03,0.005753488900299956
numerical__cardiovascular_count,0.005637763921115844
numerical__RelaxedTask_RightWrist_gyro_magnitude_spectral_centroid,0.0053868440444469
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_centroid,0.005091682735274051
numerical__Q05,0.0049274687240670285
numerical__apathy_attention_memory_count,0.004703197638601771
numerical__RelaxedTask_LeftWrist_acc_magnitude_spectral_centroid,0.004130730218756686
numerical__sleep_fatigue_count,0.0036277210560544454
numerical__TouchNose_Left_GyroMag_IQR,0.003313422160899585
numerical__DrinkGlas_LeftWrist_gyro_x_dominant_frequency,0.00289665081647652
numerical__Q08,0.0028506456455831973
numerical__Relaxed_RightWrist_gyro_y_dominant_frequency,0.0027988231683534594
categorical__gender_Female,0.0023409638173960724
categorical__gender_Male,0.0020880831581190314
numerical__Q01,0.0019894133113429165
numerical__Q19,0.0018919212561053886
numerical__Q07,0.0018320085511602426
numerical__Q09,0.001689435287430417
numerical__Q12,0.0006280252728914126
