Feature,Mean |SHAP|
numerical__urinary_count,0.44936892
numerical__distortion_perception_count,0.41155788
numerical__Q02,0.21269254
numerical__RelaxedTask_LeftWrist_gyro_z_spectral_entropy,0.14091645
numerical__TouchNose_Left_GyroY_Median,0.138491
numerical__TouchNose_Right_GyroZ_IQR,0.13693321
numerical__RelaxedTask_RightWrist_acc_y_spectral_centroid,0.12350687
numerical__Q25,0.10655884
numerical__StretchHold_RightWrist_acc_y_dominant_frequency,0.10343668
numerical__TouchNose_LeftWrist_gyro_z_spectral_entropy,0.10301777
numerical__LiftHold_LeftWrist_acc_x_spectral_entropy,0.084175766
numerical__CrossArms_LeftWrist_acc_magnitude_dominant_frequency,0.08138149
numerical__RelaxedTask_RightWrist_gyro_magnitude_spectral_centroid,0.07896488
numerical__TouchNose_Left_AccZ_Median,0.07080796
numerical__TouchIndex_Right_GyroX_IQR,0.070398286
numerical__CrossArms_RightWrist_acc_x_dominant_frequency,0.058824565
numerical__TouchNose_Right_GyroMag_Median,0.054553766
numerical__CrossArms_RightWrist_gyro_y_spectral_entropy,0.052277558
numerical__HoldWeight_RightWrist_gyro_y_spectral_power,0.04941522
numerical__LiftHold_LeftWrist_acc_z_spectral_entropy,0.04647805
numerical__Relaxed_RightWrist_gyro_magnitude_spectral_entropy,0.046144422
numerical__TouchNose_RightWrist_gyro_z_spectral_entropy,0.045345817
numerical__PointFinger_Left_AccX_Median,0.043112755
numerical__PointFinger_RightWrist_acc_y_dominant_frequency,0.039618153
numerical__TouchIndex_Right_AccX_Median,0.03906661
numerical__Q01,0.03664427
numerical__Q08,0.035606604
numerical__CrossArms_LeftWrist_gyro_z_spectral_centroid,0.03468692
numerical__HoldWeight_LeftWrist_acc_x_spectral_centroid,0.03364889
numerical__TouchNose_Right_GyroZ_Median,0.032031946
numerical__PointFinger_Right_AccZ_IQR,0.03139164
numerical__RelaxedTask_RightWrist_gyro_y_spectral_centroid,0.031132644
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_centroid,0.029788928
numerical__LiftHold_RightWrist_acc_x_spectral_centroid,0.028268566
numerical__DrinkGlas_Right_GyroZ_Range,0.028253887
numerical__sleep_fatigue_count,0.028064769
numerical__TouchNose_Left_GyroZ_Min,0.027867464
numerical__HoldWeight_RightWrist_acc_magnitude_spectral_entropy,0.026876424
numerical__RelaxedTask_LeftWrist_gyro_z_spectral_centroid,0.026532596
numerical__Relaxed_RightWrist_gyro_y_spectral_centroid,0.026429234
numerical__TouchNose_Left_GyroY_Mean,0.026421193
numerical__TouchNose_Left_GyroZ_Median,0.025579637
numerical__LiftHold_Left_GyroZ_Max,0.024253739
numerical__StretchHold_LeftWrist_gyro_y_dominant_frequency,0.021359472
numerical__Entrainment_LeftWrist_acc_z_spectral_entropy,0.021233901
numerical__HoldWeight_Left_GyroZ_IQR,0.019257508
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_power,0.019131029
numerical__LiftHold_RightWrist_acc_z_spectral_entropy,0.01849871
numerical__RelaxedTask_RightWrist_acc_x_spectral_entropy,0.018122856
numerical__RelaxedTask_RightWrist_gyro_x_spectral_entropy,0.018058512
numerical__PointFinger_Left_AccX_IQR,0.017677391
numerical__HoldWeight_Right_GyroZ_IQR,0.017518792
numerical__HoldWeight_Left_AccY_IQR,0.016899237
numerical__DrinkGlas_LeftWrist_acc_magnitude_spectral_centroid,0.016645487
numerical__TouchNose_Left_AccMag_Min,0.016152347
numerical__HoldWeight_Right_AccMag_Min,0.016121175
numerical__TouchIndex_RightWrist_gyro_magnitude_spectral_entropy,0.01587074
numerical__HoldWeight_RightWrist_acc_magnitude_spectral_centroid,0.015830332
numerical__TouchNose_LeftWrist_acc_y_spectral_centroid,0.015322382
numerical__Q22,0.015051168
numerical__Relaxed_LeftWrist_acc_z_spectral_entropy,0.014011441
numerical__HoldWeight_RightWrist_acc_y_spectral_entropy,0.013918164
numerical__TouchNose_Right_GyroX_IQR,0.013917378
numerical__StretchHold_RightWrist_acc_x_dominant_frequency,0.013901564
numerical__HoldWeight_Right_GyroY_RMS,0.013873723
numerical__TouchNose_Left_GyroMag_Std,0.012890311
numerical__RelaxedTask_RightWrist_acc_y_spectral_entropy,0.012709431
numerical__height_cm,0.0125751505
numerical__HoldWeight_LeftWrist_acc_z_spectral_centroid,0.012469698
numerical__PointFinger_RightWrist_gyro_magnitude_spectral_entropy,0.012231814
numerical__PointFinger_Gyro_Magnitude_Energy_difference,0.012101612
numerical__CrossArms_LeftWrist_acc_magnitude_spectral_entropy,0.011976538
numerical__TouchIndex_LeftWrist_gyro_y_spectral_entropy,0.011468845
numerical__PointFinger_Right_GyroY_Max,0.011449562
numerical__Entrainment_RightWrist_acc_z_spectral_centroid,0.011445098
numerical__LiftHold_LeftWrist_gyro_z_spectral_power,0.011186088
numerical__CrossArms_LeftWrist_gyro_y_spectral_centroid,0.011021788
numerical__RelaxedTask_RightWrist_acc_magnitude_spectral_centroid,0.010968627
numerical__RelaxedTask_RightWrist_gyro_z_spectral_entropy,0.010905276
numerical__PointFinger_LeftWrist_gyro_z_spectral_entropy,0.010676307
numerical__TouchIndex_LeftWrist_gyro_magnitude_spectral_entropy,0.009897926
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_centroid,0.0096321255
numerical__TouchNose_Right_GyroX_Median,0.009629195
numerical__TouchNose_Left_AccX_IQR,0.009575084
numerical__HoldWeight_RightWrist_acc_z_spectral_entropy,0.009500593
numerical__Entrainment_Left_AccY_Median,0.009494213
numerical__Entrainment_LeftWrist_acc_z_spectral_centroid,0.009364181
numerical__PointFinger_Left_GyroMag_Std,0.009351084
numerical__LiftHold_LeftWrist_gyro_y_spectral_centroid,0.009347925
numerical__StretchHold_Left_AccY_IQR,0.009156458
numerical__DrinkGlas_Left_AccZ_Std,0.009126996
numerical__DrinkGlas_LeftWrist_acc_x_dominant_frequency,0.008885654
numerical__TouchNose_Left_GyroY_Max,0.008800238
numerical__HoldWeight_LeftWrist_gyro_y_dominant_frequency,0.008357887
numerical__LiftHold_LeftWrist_acc_y_spectral_entropy,0.008268366
numerical__PointFinger_LeftWrist_gyro_magnitude_spectral_power,0.007989293
numerical__TouchNose_RightWrist_gyro_magnitude_spectral_centroid,0.0077691297
numerical__CrossArms_Left_AccMag_Median,0.0077556465
numerical__DrinkGlas_Right_GyroMag_Std,0.007565245
numerical__Relaxed_RightWrist_gyro_y_spectral_entropy,0.0073158313
numerical__HoldWeight_Left_GyroX_IQR,0.0072041187
numerical__HoldWeight_RightWrist_gyro_y_dominant_frequency,0.007002015
