feature_1,feature_2,correlation,absolute_correlation,direction,relationship_group
acc_z_spectral_power,acc_magnitude_spectral_power,0.8614063085875108,0.8614063085875108,Positive,Accelerometer
gyro_x_spectral_power,gyro_magnitude_spectral_power,0.8475681701698066,0.8475681701698066,Positive,Gyroscope
gyro_y_spectral_centroid,gyro_magnitude_spectral_centroid,0.8455272937301708,0.8455272937301708,Positive,Gyroscope
acc_x_spectral_power,acc_z_spectral_power,0.842131628903372,0.842131628903372,Positive,Accelerometer
gyro_magnitude_spectral_centroid,gyro_magnitude_spectral_entropy,0.8395048710861939,0.8395048710861939,Positive,Gyroscope
gyro_y_spectral_centroid,gyro_z_spectral_centroid,0.8285585961577996,0.8285585961577996,Positive,Gyroscope
gyro_z_spectral_centroid,gyro_magnitude_spectral_centroid,0.8219639645670576,0.8219639645670576,Positive,Gyroscope
gyro_z_spectral_power,gyro_magnitude_spectral_power,0.8211920896043682,0.8211920896043682,Positive,Gyroscope
gyro_z_spectral_centroid,gyro_z_spectral_entropy,0.8125651790488558,0.8125651790488558,Positive,Gyroscope
acc_magnitude_spectral_centroid,acc_magnitude_spectral_entropy,0.8106688511285135,0.8106688511285135,Positive,Accelerometer
gyro_z_spectral_entropy,gyro_magnitude_spectral_entropy,0.8104689537725709,0.8104689537725709,Positive,Gyroscope
acc_magnitude_spectral_centroid,gyro_magnitude_spectral_centroid,0.8045705251692958,0.8045705251692958,Positive,Cross-sensor
