feature,times_selected,mean_selection_score,std_selection_score,selection_percentage
total_symptom_count,5,59.278942077742705,2.7266609558111528,100.0
urinal_count,5,41.03042798499619,3.3147226525694715,100.0
Q02,5,35.65120725644499,5.311133310340935,100.0
distortion_perception_count,5,35.40447162069586,2.6496604170907747,100.0
gastrointestinal_count,5,32.97027167835499,0.5262057159130813,100.0
Q08,5,31.93739117201725,2.166804915400601,100.0
sleep_fatigue_count,5,30.795619410059953,2.6995351848120737,100.0
Q25,5,28.319927703450055,2.064799017736843,100.0
cardiovascular_count,5,21.485083443095853,1.9400679258547657,100.0
Q01,5,21.392904757481055,0.4111883937449552,100.0
apathy_attention_memory_count,5,21.066147203351914,3.3808757735852586,100.0
Q09,5,18.90083789817329,2.63664594099221,100.0
Q05,5,18.88323337060738,1.4993642958930167,100.0
gender_Male,5,15.641519854587623,2.9872929576650864,100.0
gender_Female,5,15.641519854587603,2.987292957665098,100.0
Q13,5,12.4996239058096,1.5877410369823741,100.0
Q07,3,15.148392485062393,1.4905068711005232,60.0
Q12,3,14.526339809387524,0.525716411470236,60.0
Q20,3,12.814252053446438,1.4835035189548709,60.0
Q15,2,16.905477239896925,1.4450822901563252,40.0
miscellaneous_count,2,13.09434387478521,0.5611722849061124,40.0
Q24,2,12.606083855617818,2.4933271861251773,40.0
Q03,2,12.561161625890414,0.6122092289924762,40.0
sexual_function_count,1,13.279838672408385,,20.0
Q21,1,13.177213207363366,,20.0
Q22,1,11.08011727185436,,20.0
