fold,feature,selection_score
5,total_symptom_count,56.068946860729916
5,urinal_count,46.06370072424477
5,distortion_perception_count,36.6818439700483
5,Q02,36.28253112071239
5,Q08,34.900331604056596
5,gastrointestinal_count,33.75540781821191
5,Q25,31.434616238902546
5,sleep_fatigue_count,28.8347440790189
5,Q01,21.726044554022273
5,Q09,21.62171788891714
5,cardiovascular_count,19.884206429083513
5,apathy_attention_memory_count,18.767966594730943
5,Q05,17.30230861128757
5,gender_Male,16.80502142374434
5,gender_Female,16.805021423744304
5,Q07,15.030243523082982
5,Q12,14.782454770008712
5,Q03,12.99405892321598
5,Q20,11.556198616454383
5,Q13,11.065844984588763
