fold,feature,selection_score
1,total_symptom_count,62.52509145716165
1,Q02,43.026296948051346
1,urinal_count,38.64535634290823
1,distortion_perception_count,38.56197750893248
1,gastrointestinal_count,32.34963150098974
1,Q08,29.822015155218807
1,sleep_fatigue_count,28.90174044884362
1,apathy_attention_memory_count,26.690026114816657
1,Q25,25.941681109185453
1,Q01,21.73214586133352
1,cardiovascular_count,20.150295748405444
1,Q05,19.379514274995806
1,Q09,18.82903536479017
1,Q15,17.927304726639047
1,gender_Female,15.856292939334114
1,gender_Male,15.856292939334082
1,Q12,14.874918029060312
1,Q13,14.850978265481242
1,miscellaneous_count,13.491152602856271
1,sexual_function_count,13.279838672408385
2,total_symptom_count,58.820601399405746
2,urinal_count,40.30968750000002
2,Q08,33.51889143210642
2,gastrointestinal_count,33.08067738918666
2,sleep_fatigue_count,32.95878867754774
2,distortion_perception_count,31.581209563792815
2,Q02,28.498296106165796
2,Q25,27.09579612284907
2,Q01,20.974742793596942
2,Q05,20.959769905485096
2,cardiovascular_count,20.293700026635378
2,gender_Male,19.9055291637386
2,gender_Female,19.90552916373858
2,apathy_attention_memory_count,19.449294303305077
2,Q09,16.94272330263864
2,Q07,16.694457668741684
2,Q12,13.92164662909355
2,Q22,11.08011727185436
2,Q13,11.032571578719448
2,Q24,10.843035294591933
3,total_symptom_count,57.416636208610555
3,urinal_count,37.7699472793452
3,Q02,37.029124898346666
3,distortion_perception_count,36.01433481920561
3,gastrointestinal_count,33.000095986270736
3,Q08,30.916536141008134
3,sleep_fatigue_count,28.847837147652236
3,Q25,28.365253405994494
3,cardiovascular_count,24.171235510632247
3,Q01,20.91718098362464
3,apathy_attention_memory_count,18.672675077912167
3,Q05,17.537926738544762
3,Q09,15.698230626724433
3,Q07,13.720476263362515
3,miscellaneous_count,12.697535146714149
3,gender_Male,12.507045835195948
3,gender_Female,12.507045835195882
3,Q13,12.461398992535752
3,Q20,12.43642284729096
3,Q03,12.128264328564844
4,total_symptom_count,61.563434462805645
4,urinal_count,42.36344807848272
4,sleep_fatigue_count,34.43498669723728
4,distortion_perception_count,34.18299224150009
4,Q02,33.41978720894877
4,gastrointestinal_count,32.665545697115924
4,Q08,30.529181527696302
4,Q25,28.76229164031872
4,cardiovascular_count,22.92597950072269
4,apathy_attention_memory_count,21.75077392599473
4,Q01,21.614409594827904
4,Q09,21.41248230779608
4,Q05,19.236647322723655
4,Q15,15.8836497531548
4,Q20,14.450134696593974
4,Q24,14.369132416643705
4,Q21,13.177213207363366
4,gender_Male,13.13370991092514
4,gender_Female,13.133709910925123
4,Q13,13.08732570772279
5,total_symptom_count,56.068946860729916
5,urinal_count,46.06370072424477
5,distortion_perception_count,36.6818439700483
5,Q02,36.28253112071239
5,Q08,34.900331604056596
5,gastrointestinal_count,33.75540781821191
5,Q25,31.434616238902546
5,sleep_fatigue_count,28.8347440790189
5,Q01,21.726044554022273
5,Q09,21.62171788891714
5,cardiovascular_count,19.884206429083513
5,apathy_attention_memory_count,18.767966594730943
5,Q05,17.30230861128757
5,gender_Male,16.80502142374434
5,gender_Female,16.805021423744304
5,Q07,15.030243523082982
5,Q12,14.782454770008712
5,Q03,12.99405892321598
5,Q20,11.556198616454383
5,Q13,11.065844984588763
