dataset,fold,feature,selection_score
demographics_questionnaire,5,total_symptom_count,55.31760625481484
demographics_questionnaire,5,Q02,38.07915123939333
demographics_questionnaire,5,urinal_count,37.94721705598899
demographics_questionnaire,5,distortion_perception_count,35.28237251190906
demographics_questionnaire,5,gastrointestinal_count,32.12679053337409
demographics_questionnaire,5,Q08,28.3551009411268
demographics_questionnaire,5,sleep_fatigue_count,25.786565409796985
demographics_questionnaire,5,Q25,24.0439666808275
demographics_questionnaire,5,Q01,22.653840958363237
demographics_questionnaire,5,cardiovascular_count,20.610220070544724
demographics_questionnaire,5,Q05,20.4056032420552
demographics_questionnaire,5,Q09,19.207268886933104
demographics_questionnaire,5,apathy_attention_memory_count,18.579507878456162
demographics_questionnaire,5,gender_Female,14.107970332178558
demographics_questionnaire,5,gender_Male,14.107970332178542
demographics_questionnaire,5,Q20,12.49199572450934
demographics_questionnaire,5,Q07,12.453774071167334
demographics_questionnaire,5,Q12,11.759591586164662
demographics_questionnaire,5,Q13,11.53373892773691
demographics_questionnaire,5,Q15,11.2199461606223
