feature,times_selected,mean_selection_score,std_selection_score,selection_percentage
total_symptom_count,5,59.23383012997008,1.9651259967242607,100.0
urinal_count,5,41.015410076584956,4.36593909683094,100.0
distortion_perception_count,5,35.52903891254552,2.6819446311917616,100.0
Q02,5,35.518418068884074,2.975015161582234,100.0
gastrointestinal_count,5,33.09888911402151,1.9742881290213858,100.0
Q08,5,31.95062808706829,4.217360855652734,100.0
sleep_fatigue_count,5,30.599776895008866,1.9664326403566246,100.0
Q25,5,28.37551806121213,2.352354861408111,100.0
HoldWeight_LeftWrist_acc_z_spectral_entropy,5,20.620132161093252,1.1741970019681522,100.0
LiftHold_Left_AccX_IQR,5,20.531132559277854,1.5288335996217695,100.0
HoldWeight_RightWrist_acc_y_spectral_entropy,4,23.190641908598007,2.5531549950122834,80.0
CrossArms_Left_AccMag_Min,4,22.262009873747797,2.389178768493279,80.0
Q01,4,21.999346421650507,1.7067827717501431,80.0
HoldWeight_RightWrist_acc_x_spectral_entropy,4,21.79041264782078,3.0121764847124344,80.0
cardiovascular_count,4,21.623308408810182,1.8336998946978265,80.0
HoldWeight_RightWrist_acc_z_spectral_entropy,4,20.354545150728416,1.713898740941412,80.0
apathy_attention_memory_count,3,22.44854444106197,0.876853665629848,60.0
Q09,3,20.501973550476198,1.5065951216622606,60.0
RelaxedTask_LeftWrist_gyro_magnitude_spectral_centroid,2,20.390516318015052,0.70236625468479,40.0
LiftHold_LeftWrist_acc_x_spectral_entropy,2,20.29098611638435,0.00637012132807246,40.0
HoldWeight_RightWrist_gyro_x_spectral_entropy,2,19.196449053747003,1.0820521699879175,40.0
CrossArms_LeftWrist_gyro_magnitude_spectral_centroid,1,25.899335718535767,,20.0
CrossArms_RightWrist_gyro_magnitude_spectral_centroid,1,23.96321364729215,,20.0
DrinkGlas_Left_AccMag_Median,1,23.505238353139102,,20.0
Q05,1,22.630029065283463,,20.0
DrinkGlas_Left_AccY_IQR,1,22.469497648011632,,20.0
LiftHold_Left_AccMag_Median,1,22.274061731900762,,20.0
LiftHold_Left_AccMag_Mean,1,21.76267553211027,,20.0
DrinkGlas_LeftWrist_gyro_x_spectral_centroid,1,21.523325314435688,,20.0
LiftHold_Right_AccMag_Min,1,20.296773355544808,,20.0
HoldWeight_Left_GyroZ_IQR,1,19.837889681007848,,20.0
LiftHold_Right_GyroZ_IQR,1,19.735470616242903,,20.0
CrossArms_LeftWrist_gyro_magnitude_spectral_entropy,1,19.525090864735116,,20.0
CrossArms_Right_AccMag_Min,1,19.05800444064011,,20.0
Q12,1,18.908108108108152,,20.0
