dataset,fold,feature,selection_score
multimodal_full,5,total_symptom_count,55.31760625481484
multimodal_full,5,Q02,38.07915123939333
multimodal_full,5,urinal_count,37.94721705598899
multimodal_full,5,distortion_perception_count,35.28237251190906
multimodal_full,5,gastrointestinal_count,32.12679053337409
multimodal_full,5,Q08,28.3551009411268
multimodal_full,5,sleep_fatigue_count,25.786565409796985
multimodal_full,5,Q25,24.0439666808275
multimodal_full,5,Q01,22.653840958363237
multimodal_full,5,cardiovascular_count,20.610220070544724
multimodal_full,5,Q05,20.4056032420552
multimodal_full,5,freq_gyro_y_dominant_frequency,19.95652857495855
multimodal_full,5,Q09,19.207268886933104
multimodal_full,5,apathy_attention_memory_count,18.579507878456162
multimodal_full,5,freq_gyro_magnitude_spectral_entropy,17.033907298407176
multimodal_full,5,freq_acc_x_dominant_frequency,15.091327967229685
multimodal_full,5,gender_Female,14.107970332178558
multimodal_full,5,gender_Male,14.107970332178542
multimodal_full,5,Q20,12.49199572450934
multimodal_full,5,Q07,12.453774071167334
