task,recordings,mean_sampling_frequency_hz,median_sampling_frequency_hz,median_jitter_ms,p95_jitter_ms,files_with_short_intervals,files_with_long_intervals,files_with_non_increasing_time,minimum_interval_seconds,maximum_interval_seconds
CrossArms,938,99.760426,99.970915,0.899227,1.422914,910,927,0,1.3e-05,0.071196
DrinkGlas,938,99.76012,99.956019,0.292983,1.529115,846,878,0,1.4e-05,0.09014
Entrainment,938,99.75823,99.964364,0.267018,0.941383,909,931,0,1.9e-05,0.08641
HoldWeight,938,99.761695,99.969134,0.265638,0.948456,836,885,0,2.2e-05,0.056682
LiftHold,938,99.762409,99.955418,0.308869,1.11837,873,895,0,1.7e-05,0.074063
PointFinger,938,99.760691,99.966748,0.397513,2.377771,873,893,0,1.5e-05,0.092255
Relaxed,938,99.766193,99.959584,0.263742,0.890013,915,930,0,1.4e-05,0.118326
RelaxedTask,938,99.763981,99.975692,0.266839,0.921237,920,931,0,1.6e-05,0.087321
StretchHold,938,99.764462,99.975683,0.328015,1.330543,874,899,0,1.8e-05,0.646577
TouchIndex,938,99.7564,99.980446,0.707191,3.064917,886,902,0,1.5e-05,0.217657
TouchNose,938,99.759093,99.97151,0.284551,2.030292,852,885,0,1.7e-05,0.081995
