Feature,Mean |SHAP|
numerical__total_symptom_count,0.053268288325157294
numerical__distortion_perception_count,0.03447009372090084
numerical__Q25,0.026611140841483034
numerical__Q02,0.025134157029971835
numerical__gastrointestinal_count,0.021856781032419847
numerical__urinal_count,0.020974782253656753
numerical__CrossArms_RightWrist_gyro_y_spectral_centroid,0.016848100456647815
numerical__HoldWeight_RightWrist_gyro_y_dominant_frequency,0.016587417680401305
numerical__TouchNose_Left_GyroZ_Median,0.013555424447625863
numerical__RelaxedTask_RightWrist_gyro_magnitude_spectral_centroid,0.012487894287160394
numerical__CrossArms_Left_AccY_IQR,0.012122793856057976
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_centroid,0.01174661854943904
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_centroid,0.011265714459287517
numerical__RelaxedTask_LeftWrist_gyro_magnitude_spectral_centroid,0.0109513305780221
numerical__TouchNose_Right_GyroZ_Median,0.010920897294275814
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_entropy,0.010672483489364141
numerical__HoldWeight_LeftWrist_acc_z_spectral_centroid,0.009817002825489664
numerical__RelaxedTask_RightWrist_acc_magnitude_spectral_centroid,0.00954182249124009
numerical__HoldWeight_RightWrist_acc_y_spectral_entropy,0.009166043795186112
numerical__CrossArms_Left_GyroMag_Min,0.008301537397590476
numerical__sleep_fatigue_count,0.008288087991961275
numerical__HoldWeight_Left_GyroY_IQR,0.008287337208891441
numerical__RelaxedTask_RightWrist_gyro_y_dominant_frequency,0.008082916419772806
numerical__Q08,0.008075580894592675
numerical__HoldWeight_RightWrist_acc_z_spectral_entropy,0.007950697389971381
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_centroid,0.007877214903149916
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_centroid,0.007594523393217074
numerical__LiftHold_Left_AccX_IQR,0.007478580739998041
numerical__TouchNose_Left_GyroMag_IQR,0.007458326516849449
numerical__CrossArms_Left_AccMag_Min,0.00676241781853329
numerical__Q01,0.006621129698377694
numerical__DrinkGlas_Right_AccMag_Min,0.0064808845405215365
categorical__gender_Male,0.006456194123738236
numerical__RelaxedTask_LeftWrist_acc_magnitude_spectral_centroid,0.006339311014124822
numerical__Relaxed_RightWrist_gyro_y_dominant_frequency,0.006303839150922356
numerical__LiftHold_Left_GyroZ_IQR,0.005004980979421193
numerical__Q05,0.004878680255809578
numerical__Q09,0.004802569087887051
numerical__HoldWeight_LeftWrist_acc_z_spectral_entropy,0.004784079079622705
numerical__Q07,0.004501406855597262
numerical__HoldWeight_RightWrist_acc_x_spectral_entropy,0.004336092006373148
numerical__Relaxed_RightWrist_acc_z_spectral_entropy,0.00405960409463257
numerical__cardiovascular_count,0.003767188405867119
numerical__RelaxedTask_RightWrist_acc_z_spectral_entropy,0.0036985462824251653
numerical__DrinkGlas_LeftWrist_gyro_x_dominant_frequency,0.002931545960466588
categorical__gender_Female,0.002813617110239287
numerical__Q03,0.0024660154524722864
numerical__apathy_attention_memory_count,0.0017585474269753768
numerical__Q19,0.0014833903249017687
numerical__Q12,0.0007511656487016028
