Feature,Missing Values,Infinite Values,Unique Values,Variance,Constant,Low Variance,Invalid
Accelerometer_X_Mean,0,0,10318,6.632958727063731e-07,False,True,False
Accelerometer_X_Median,0,0,10318,7.453209895250848e-05,False,False,False
Accelerometer_X_Std,0,0,10318,0.004083709938000194,False,False,False
Accelerometer_X_Min,0,0,10318,0.1403440215693062,False,False,False
Accelerometer_X_Max,0,0,10318,0.12520118487139278,False,False,False
Accelerometer_X_Range,0,0,10318,0.44616651210330416,False,False,False
Accelerometer_X_IQR,0,0,10318,0.00567702418034151,False,False,False
Accelerometer_X_RMS,0,0,10318,0.004079590766037977,False,False,False
Accelerometer_X_Energy,0,0,10318,477.8873404069787,False,False,False
Accelerometer_Y_Mean,0,0,10318,8.64169637704274e-07,False,True,False
Accelerometer_Y_Median,0,0,10318,0.00013003285151821136,False,False,False
Accelerometer_Y_Std,0,0,10318,0.007855459865934252,False,False,False
Accelerometer_Y_Min,0,0,10318,0.15877305443053988,False,False,False
Accelerometer_Y_Max,0,0,10318,0.5454889829890734,False,False,False
Accelerometer_Y_Range,0,0,10318,1.1447628498805822,False,False,False
Accelerometer_Y_IQR,0,0,10318,0.008936793617174046,False,False,False
Accelerometer_Y_RMS,0,0,10318,0.007847827440111971,False,False,False
Accelerometer_Y_Energy,0,0,10318,2751.3809106562544,False,False,False
Accelerometer_Z_Mean,0,0,10318,9.63226159123911e-07,False,True,False
Accelerometer_Z_Median,0,0,10318,0.00017803879579657322,False,False,False
Accelerometer_Z_Std,0,0,10318,0.009426237213596537,False,False,False
Accelerometer_Z_Min,0,0,10318,0.6003279698830455,False,False,False
Accelerometer_Z_Max,0,0,10318,0.08137827153201574,False,False,False
Accelerometer_Z_Range,0,0,10318,0.9900159920621342,False,False,False
Accelerometer_Z_IQR,0,0,10318,0.011078110821832408,False,False,False
Accelerometer_Z_RMS,0,0,10318,0.009416855944077448,False,False,False
Accelerometer_Z_Energy,0,0,10318,2370.33879728889,False,False,False
Gyroscope_X_Mean,0,0,10318,0.002438132591746213,False,False,False
Gyroscope_X_Median,0,0,10317,0.007793002868413184,False,False,False
Gyroscope_X_Std,0,0,10318,0.4754804499358336,False,False,False
Gyroscope_X_Min,0,0,10317,4.691053427552667,False,False,False
Gyroscope_X_Max,0,0,10318,5.589351282062075,False,False,False
Gyroscope_X_Range,0,0,10318,18.853188508076066,False,False,False
Gyroscope_X_IQR,0,0,10318,0.5124613903549428,False,False,False
Gyroscope_X_RMS,0,0,10318,0.4752923583661609,False,False,False
Gyroscope_X_Energy,0,0,10318,5558778.915321966,False,False,False
Gyroscope_Y_Mean,0,0,10318,0.01414601668185561,False,False,False
Gyroscope_Y_Median,0,0,10318,0.011829857204812942,False,False,False
Gyroscope_Y_Std,0,0,10318,0.384997920512878,False,False,False
Gyroscope_Y_Min,0,0,10318,2.202305299339907,False,False,False
Gyroscope_Y_Max,0,0,10316,2.169646539737152,False,False,False
Gyroscope_Y_Range,0,0,10315,8.136543526817992,False,False,False
Gyroscope_Y_IQR,0,0,10318,0.8290786474729613,False,False,False
Gyroscope_Y_RMS,0,0,10318,0.39240219501094614,False,False,False
Gyroscope_Y_Energy,0,0,10318,1892198.3258430974,False,False,False
Gyroscope_Z_Mean,0,0,10318,0.007378936729766395,False,False,False
Gyroscope_Z_Median,0,0,10318,0.006227264402480292,False,False,False
Gyroscope_Z_Std,0,0,10318,0.6603298029714484,False,False,False
Gyroscope_Z_Min,0,0,10316,3.0439186181838305,False,False,False
Gyroscope_Z_Max,0,0,10318,2.9870492700414064,False,False,False
Gyroscope_Z_Range,0,0,10318,11.170445201234049,False,False,False
Gyroscope_Z_IQR,0,0,10318,1.500933689259389,False,False,False
Gyroscope_Z_RMS,0,0,10318,0.6613040354716829,False,False,False
Gyroscope_Z_Energy,0,0,10318,5731325.395883598,False,False,False
Acc_Magnitude_Mean,0,0,10318,0.012575472414629871,False,False,False
Acc_Magnitude_Median,0,0,10318,0.009328991806475444,False,False,False
Acc_Magnitude_Std,0,0,10318,0.008639757841326845,False,False,False
Acc_Magnitude_Min,0,0,10318,0.00011641888081492834,False,False,False
Acc_Magnitude_Max,0,0,10318,1.1429537375648497,False,False,False
Acc_Magnitude_Range,0,0,10318,1.1309663555090455,False,False,False
Acc_Magnitude_IQR,0,0,10318,0.006119155643208496,False,False,False
Acc_Magnitude_RMS,0,0,10318,0.020741814474851822,False,False,False
Acc_Magnitude_Energy,0,0,10318,11974.975226795194,False,False,False
Gyro_Magnitude_Mean,0,0,10318,1.0145670314827413,False,False,False
Gyro_Magnitude_Median,0,0,10318,0.9636914699187257,False,False,False
Gyro_Magnitude_Std,0,0,10318,0.434851663816393,False,False,False
Gyro_Magnitude_Min,0,0,10318,0.0013537460069804217,False,False,False
Gyro_Magnitude_Max,0,0,10318,9.193883478620897,False,False,False
Gyro_Magnitude_Range,0,0,10318,9.06056737169009,False,False,False
Gyro_Magnitude_IQR,0,0,10318,1.242218044117856,False,False,False
Gyro_Magnitude_RMS,0,0,10318,1.4196165918172254,False,False,False
Gyro_Magnitude_Energy,0,0,10318,25948458.230689835,False,False,False
