Feature,Missing Values,Infinite Values,Unique Values,Variance,Constant,Low Variance,Invalid
CrossArms_Left_AccX_Mean,0,0,469,9.377872397008846e-07,False,True,False
CrossArms_Right_AccX_Mean,0,0,469,8.655440819532627e-07,False,True,False
DrinkGlas_Left_AccX_Mean,0,0,469,7.705555291679496e-07,False,True,False
DrinkGlas_Right_AccX_Mean,0,0,469,9.804176087092515e-07,False,True,False
Entrainment_Left_AccX_Mean,0,0,469,8.779157614501688e-08,False,True,False
Entrainment_Right_AccX_Mean,0,0,469,9.029875860890351e-08,False,True,False
HoldWeight_Left_AccX_Mean,0,0,469,1.4164585768516753e-07,False,True,False
HoldWeight_Right_AccX_Mean,0,0,469,1.3541955546014843e-07,False,True,False
LiftHold_Left_AccX_Mean,0,0,469,3.5821443455278076e-07,False,True,False
LiftHold_Right_AccX_Mean,0,0,469,2.934192512903295e-07,False,True,False
PointFinger_Left_AccX_Mean,0,0,469,1.4123736795819842e-06,False,False,False
PointFinger_Right_AccX_Mean,0,0,469,1.2389531782382402e-06,False,False,False
RelaxedTask_Left_AccX_Mean,0,0,469,1.7074308673040594e-08,False,True,False
RelaxedTask_Right_AccX_Mean,0,0,469,1.8851569941976735e-08,False,True,False
Relaxed_Left_AccX_Mean,0,0,469,1.2804007752348085e-08,False,True,False
Relaxed_Right_AccX_Mean,0,0,469,1.4812166132300178e-08,False,True,False
StretchHold_Left_AccX_Mean,0,0,469,1.5062355998252339e-07,False,True,False
StretchHold_Right_AccX_Mean,0,0,469,1.1034376467853001e-07,False,True,False
TouchIndex_Left_AccX_Mean,0,0,469,1.4701950963397054e-06,False,False,False
TouchIndex_Right_AccX_Mean,0,0,469,1.40653365180253e-06,False,False,False
TouchNose_Left_AccX_Mean,0,0,469,2.0016749753090063e-06,False,False,False
TouchNose_Right_AccX_Mean,0,0,469,1.9770262041752796e-06,False,False,False
CrossArms_Left_AccX_Median,0,0,469,1.3820947441038853e-06,False,False,False
CrossArms_Right_AccX_Median,0,0,469,6.779541798096173e-06,False,False,False
DrinkGlas_Left_AccX_Median,0,0,469,4.266849877364147e-06,False,False,False
DrinkGlas_Right_AccX_Median,0,0,469,3.321607714931181e-06,False,False,False
Entrainment_Left_AccX_Median,0,0,469,9.417717585068199e-06,False,False,False
Entrainment_Right_AccX_Median,0,0,469,2.3766991144112888e-05,False,False,False
HoldWeight_Left_AccX_Median,0,0,469,1.1274758612890237e-06,False,False,False
HoldWeight_Right_AccX_Median,0,0,469,3.2787379360741273e-06,False,False,False
LiftHold_Left_AccX_Median,0,0,469,4.128524354691751e-07,False,True,False
LiftHold_Right_AccX_Median,0,0,469,9.675929274578219e-07,False,True,False
PointFinger_Left_AccX_Median,0,0,469,0.00018722595863897645,False,False,False
PointFinger_Right_AccX_Median,0,0,469,0.0001581490478659137,False,False,False
RelaxedTask_Left_AccX_Median,0,0,469,5.199833755703745e-06,False,False,False
RelaxedTask_Right_AccX_Median,0,0,469,3.326237417218262e-05,False,False,False
Relaxed_Left_AccX_Median,0,0,469,2.700008355179413e-06,False,False,False
Relaxed_Right_AccX_Median,0,0,469,8.266838807672672e-05,False,False,False
StretchHold_Left_AccX_Median,0,0,469,6.596848147791774e-07,False,True,False
StretchHold_Right_AccX_Median,0,0,469,1.2260362025811687e-05,False,False,False
TouchIndex_Left_AccX_Median,0,0,469,0.0001999391218578202,False,False,False
TouchIndex_Right_AccX_Median,0,0,469,0.0002314902528980549,False,False,False
TouchNose_Left_AccX_Median,0,0,469,0.0003163887795715231,False,False,False
TouchNose_Right_AccX_Median,0,0,469,0.00027683541875131776,False,False,False
CrossArms_Left_AccX_Std,0,0,469,0.0013281309274188796,False,False,False
CrossArms_Right_AccX_Std,0,0,469,0.0017660297974721087,False,False,False
DrinkGlas_Left_AccX_Std,0,0,469,0.0010530549829197479,False,False,False
DrinkGlas_Right_AccX_Std,0,0,469,0.0011395032245553733,False,False,False
Entrainment_Left_AccX_Std,0,0,469,0.0005831703693270085,False,False,False
Entrainment_Right_AccX_Std,0,0,469,0.0007320299405441813,False,False,False
HoldWeight_Left_AccX_Std,0,0,469,0.00016030117215014964,False,False,False
HoldWeight_Right_AccX_Std,0,0,469,0.00038097357156492077,False,False,False
LiftHold_Left_AccX_Std,0,0,469,0.00014375529942290357,False,False,False
LiftHold_Right_AccX_Std,0,0,469,0.0001892040498129073,False,False,False
PointFinger_Left_AccX_Std,0,0,469,0.006426898071512847,False,False,False
PointFinger_Right_AccX_Std,0,0,469,0.0047431073644090835,False,False,False
