Feature,Missing Values,Infinite Values,Unique Values,Variance,Constant,Low Variance,Invalid
Relaxed_Right_AccZ_Mean,0,0,469,6.116775087864251e-09,False,True,False
RelaxedTask_Right_AccZ_Mean,0,0,469,9.001531501470408e-09,False,True,False
RelaxedTask_Left_AccZ_Mean,0,0,469,9.577026758397013e-09,False,True,False
Relaxed_Right_AccY_Mean,0,0,469,1.1017579615012636e-08,False,True,False
Relaxed_Left_AccZ_Mean,0,0,469,1.1545050999196137e-08,False,True,False
RelaxedTask_Right_AccY_Mean,0,0,469,1.267314117814235e-08,False,True,False
Relaxed_Left_AccX_Mean,0,0,469,1.2804007752348085e-08,False,True,False
Relaxed_Right_AccX_Mean,0,0,469,1.4812166132300178e-08,False,True,False
RelaxedTask_Left_AccX_Mean,0,0,469,1.7074308673040594e-08,False,True,False
RelaxedTask_Right_AccX_Mean,0,0,469,1.8851569941976735e-08,False,True,False
RelaxedTask_Left_AccY_Mean,0,0,469,2.1154809975286324e-08,False,True,False
Relaxed_Left_AccY_Mean,0,0,469,2.448079315655597e-08,False,True,False
Entrainment_Left_AccX_Mean,0,0,469,8.779157614501688e-08,False,True,False
Entrainment_Right_AccX_Mean,0,0,469,9.029875860890351e-08,False,True,False
Entrainment_Left_AccY_Mean,0,0,469,1.0446365025088506e-07,False,True,False
StretchHold_Right_AccX_Mean,0,0,469,1.1034376467853001e-07,False,True,False
HoldWeight_Right_AccY_Mean,0,0,469,1.1473276968262308e-07,False,True,False
StretchHold_Left_AccY_Mean,0,0,469,1.199001083189532e-07,False,True,False
HoldWeight_Right_AccZ_Mean,0,0,469,1.2362554980767715e-07,False,True,False
Entrainment_Right_AccY_Mean,0,0,469,1.2412488312141294e-07,False,True,False
HoldWeight_Left_AccZ_Mean,0,0,469,1.2575985322054107e-07,False,True,False
Entrainment_Left_AccZ_Mean,0,0,469,1.2752609242096123e-07,False,True,False
Entrainment_Right_AccZ_Mean,0,0,469,1.3050247998701774e-07,False,True,False
HoldWeight_Right_AccX_Mean,0,0,469,1.3541955546014843e-07,False,True,False
StretchHold_Left_AccZ_Mean,0,0,469,1.379712469607757e-07,False,True,False
StretchHold_Right_AccY_Mean,0,0,469,1.3979372928293503e-07,False,True,False
HoldWeight_Left_AccX_Mean,0,0,469,1.4164585768516753e-07,False,True,False
StretchHold_Left_AccX_Mean,0,0,469,1.5062355998252339e-07,False,True,False
HoldWeight_Left_AccY_Mean,0,0,469,1.6944511698097405e-07,False,True,False
StretchHold_Right_AccZ_Mean,0,0,469,1.8973145563233336e-07,False,True,False
LiftHold_Right_AccX_Mean,0,0,469,2.934192512903295e-07,False,True,False
LiftHold_Left_AccX_Mean,0,0,469,3.5821443455278076e-07,False,True,False
LiftHold_Right_AccY_Mean,0,0,469,3.7613569950585564e-07,False,True,False
LiftHold_Left_AccY_Mean,0,0,469,3.7630257955445113e-07,False,True,False
LiftHold_Left_AccX_Median,0,0,469,4.128524354691751e-07,False,True,False
LiftHold_Right_AccZ_Mean,0,0,469,5.562394399283922e-07,False,True,False
LiftHold_Left_AccZ_Mean,0,0,469,5.961956767798732e-07,False,True,False
StretchHold_Left_AccX_Median,0,0,469,6.596848147791774e-07,False,True,False
DrinkGlas_Left_AccX_Mean,0,0,469,7.705555291679496e-07,False,True,False
DrinkGlas_Left_AccZ_Mean,0,0,469,8.197452274412339e-07,False,True,False
CrossArms_Right_AccX_Mean,0,0,469,8.655440819532627e-07,False,True,False
DrinkGlas_Left_AccY_Mean,0,0,469,8.9284375926149e-07,False,True,False
CrossArms_Left_AccX_Mean,0,0,469,9.377872397008846e-07,False,True,False
LiftHold_Right_AccX_Median,0,0,469,9.675929274578219e-07,False,True,False
DrinkGlas_Right_AccX_Mean,0,0,469,9.804176087092515e-07,False,True,False
