dataset,fold,feature,selection_score
wearable_questionnaire,2,total_symptom_count,59.86293848141789
wearable_questionnaire,2,urinal_count,44.19067237266931
wearable_questionnaire,2,distortion_perception_count,35.75747972623188
wearable_questionnaire,2,gastrointestinal_count,34.27498266999608
wearable_questionnaire,2,Q02,33.007215040286475
wearable_questionnaire,2,Q08,32.352053905010635
wearable_questionnaire,2,sleep_fatigue_count,30.806345865466024
wearable_questionnaire,2,cardiovascular_count,26.28237277619993
wearable_questionnaire,2,Q25,25.801466549649447
wearable_questionnaire,2,Q09,21.146440241604708
wearable_questionnaire,2,Q01,20.828004486998285
wearable_questionnaire,2,apathy_attention_memory_count,20.58319600749655
wearable_questionnaire,2,freq_gyro_y_dominant_frequency,17.46064358378199
wearable_questionnaire,2,Q05,17.337326010009097
wearable_questionnaire,2,Q03,14.622051408343916
wearable_questionnaire,2,Q15,14.574168883959894
wearable_questionnaire,2,Q21,14.004482166624904
wearable_questionnaire,2,Q20,13.612912362717639
wearable_questionnaire,2,symmetry_Gyroscope_Z_Median_difference,13.317243989764153
wearable_questionnaire,2,Q26,13.20683593427208
